Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Contratos indefinidos registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;223974;216534;204328;308714;230652;266747;310289;343792;384707;437762;420661;284764;393886;927185;881813;
Zonas Estadísticas;01;Municipio de Madrid ;151070;146674;138526;210229;156613;179733;210312;234791;259689;295663;284934;188158;266501;626041;590483;
Zonas Estadísticas;02;Norte Metropolitano ;12317;12807;12253;18038;12968;15884;18039;20155;22692;26551;26883;17735;24618;51375;48331;
Zonas Estadísticas;03;Este Metropolitano  ;13147;12711;12170;14979;12323;14501;16928;18428;21878;24246;22749;17186;21518;55342;57464;
Zonas Estadísticas;04;Sur Metropolitano   ;23341;21216;19483;24441;21323;25142;28720;32495;36959;42449;38441;27726;35593;94468;93846;
Zonas Estadísticas;05;Oeste Metropolitano ;15078;14662;14687;31016;19451;22155;25387;26809;30805;33958;32841;22982;30531;61731;55517;
Zonas Estadísticas;06;Sierra Norte        ;1057;969;817;889;855;1010;1327;1303;1529;1788;2579;1745;1771;4450;4633;
Zonas Estadísticas;07;Nordeste Comunidad  ;964;1064;863;1083;858;1150;1396;1378;1609;1819;1656;1182;1563;4190;3970;
Zonas Estadísticas;08;Sudeste Comunidad   ;1877;1513;1083;1264;1210;1280;1365;1409;1625;2111;1962;1570;2245;5244;5551;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2278;2522;2304;2440;2280;2655;3367;3248;3682;4487;4283;3139;5101;12329;11509;
Zonas Estadísticas;10;Sierra Sur          ;423;329;322;474;343;372;388;469;545;737;622;499;643;2193;1829;
Zonas Estadísticas;11;Sierra Central      ;2422;2067;1820;3861;2428;2865;3060;3307;3694;3953;3711;2842;3802;9822;8680;
Municipios;0014;Acebeda (La);98;132;123;99;73;113;248;140;306;261;399;233;239;895;990;
Municipios;0029;Ajalvir;171;172;146;228;184;206;203;231;278;334;305;240;347;784;723;
Municipios;0035;Alameda del Valle;26;22;17;19;21;14;19;15;30;46;36;26;45;148;159;
Municipios;0040;Alamo (El);141;97;72;93;123;117;198;144;178;256;261;216;261;594;566;
Municipios;0053;Alcalá de Henares;4117;3868;3456;4198;3606;3856;4199;4962;5627;6661;6089;4255;5452;15150;15351;
Municipios;0066;Alcobendas;5056;5828;5805;8480;6345;7830;8836;10175;10907;13308;14130;9091;12798;24586;22910;
Municipios;0072;Alcorcón;3944;3312;2867;3816;3073;3508;4040;4907;5832;6965;6453;4024;6036;14713;13782;
Municipios;0088;Aldea del Fresno;28;37;28;36;38;41;51;63;101;121;88;64;76;261;255;
Municipios;0091;Algete;525;393;394;727;520;650;644;619;806;890;860;580;765;1594;1728;
Municipios;0105;Alpedrete;252;206;172;373;239;310;346;392;375;398;346;242;376;951;884;
Municipios;0112;Ambite;5;8;41;13;5;10;6;14;30;31;13;16;28;52;56;
Municipios;0127;Anchuelo;17;8;18;18;11;7;11;14;15;64;90;44;143;176;119;
Municipios;0133;Aranjuez;949;795;700;880;680;910;916;1128;1236;1859;1612;955;1306;4160;6424;
Municipios;0148;Arganda del Rey;1221;1112;1208;1201;1001;1166;1276;1561;1949;2167;1835;1219;1522;4298;4614;
Municipios;0151;Arroyomolinos;696;921;925;874;769;966;1384;1065;1253;1532;1276;822;1384;4243;3817;
Municipios;0164;Atazar (El);14;7;13;7;16;8;17;8;24;30;27;95;36;77;93;
Municipios;0170;Batres;20;16;13;14;16;8;17;49;28;36;34;28;90;261;108;
Municipios;0186;Becerril de la Sierra;55;49;54;113;51;72;73;99;93;130;140;97;93;353;276;
Municipios;0199;Belmonte de Tajo;52;45;55;54;43;23;41;39;23;86;60;63;85;185;139;
Municipios;0210;Berrueco (El);14;10;23;19;29;18;48;49;56;45;29;29;50;176;113;
Municipios;0203;Berzosa del Lozoya;78;48;47;34;77;126;70;68;71;67;121;91;167;133;187;
Municipios;0225;Boadilla del Monte;1757;1687;1436;3015;1604;1838;2259;2377;2562;3496;3352;3048;3734;6720;6327;
Municipios;0231;Boalo (El);101;131;101;152;103;161;135;158;175;159;110;129;154;420;377;
Municipios;0246;Braojos;2;4;5;4;1;18;90;123;40;66;74;65;40;89;102;
Municipios;0259;Brea de Tajo;48;12;19;9;17;90;22;5;18;59;20;17;75;145;73;
Municipios;0262;Brunete;125;128;159;318;183;215;260;295;283;367;387;227;238;855;589;
Municipios;0278;Buitrago del Lozoya;40;56;37;38;68;51;38;51;64;80;67;57;63;158;138;
Municipios;0284;Bustarviejo;30;54;40;33;50;45;63;87;48;121;116;186;139;265;226;
Municipios;0297;Cabanillas de la Sierra;47;28;26;45;28;20;29;34;17;33;39;12;57;108;131;
Municipios;0301;Cabrera (La);42;39;54;36;52;70;76;67;82;99;64;79;98;222;167;
Municipios;0318;Cadalso de los Vidrios;18;9;26;35;17;18;23;27;25;53;44;44;65;173;132;
Municipios;0323;Camarma de Esteruelas;152;180;109;144;113;167;144;163;197;131;130;105;111;468;413;
Municipios;0339;Campo Real;57;70;55;70;73;132;137;85;109;122;109;98;164;325;1139;
Municipios;0344;Canencia;36;27;24;23;10;8;17;22;26;27;425;16;30;180;252;
Municipios;0357;Carabaña;19;8;9;24;25;26;9;17;35;47;89;28;33;132;72;
Municipios;0360;Casarrubuelos;142;29;56;71;62;73;64;72;67;108;188;77;135;685;544;
Municipios;0376;Cenicientos;46;24;37;26;28;12;34;18;48;100;40;32;63;278;90;
Municipios;0382;Cercedilla;94;81;88;120;79;101;120;107;191;172;161;123;231;561;621;
Municipios;0395;Cervera de Buitrago;14;6;5;8;8;2;11;10;12;24;24;3;26;76;62;
Municipios;0513;Chapinería;27;15;17;25;18;19;36;35;24;44;30;44;47;252;219;
Municipios;0528;Chinchón;62;90;64;88;108;88;146;163;134;190;208;113;127;518;449;
Municipios;0409;Ciempozuelos;489;459;437;368;292;381;762;838;772;820;759;666;838;1645;1515;
Municipios;0416;Cobeña;117;84;107;249;133;144;239;137;126;155;178;137;178;525;453;
Municipios;0468;Collado Mediano;101;85;68;185;98;100;110;102;145;200;225;174;228;431;345;
Municipios;0474;Collado Villalba;1296;1162;957;1542;1262;1860;1818;1791;2162;2240;2034;1250;1562;4192;3651;
Municipios;0455;Colmenar Viejo;949;809;760;1308;874;1054;1181;1329;1460;1668;1353;1037;1345;3260;2869;
Municipios;0437;Colmenar de Oreja;50;55;54;59;49;65;45;73;74;95;76;74;88;234;270;
Municipios;0421;Colmenar del Arroyo;67;62;41;57;60;38;40;57;96;130;95;50;87;240;284;
Municipios;0442;Colmenarejo;92;74;71;143;48;77;108;119;118;122;114;77;139;360;341;
Municipios;0480;Corpa;6;2;4;13;6;0;3;15;7;6;8;6;5;49;50;
Municipios;0493;Coslada;1932;1769;1892;2101;1625;2147;2377;2582;3137;3440;3380;2754;3564;8903;10355;
Municipios;0506;Cubas de la Sagra;79;214;60;74;57;79;104;94;115;109;390;341;1266;483;1026;
Municipios;0534;Daganzo de Arriba;225;237;165;218;197;238;278;260;330;393;359;201;249;842;682;
Municipios;0549;Escorial (El);232;172;152;328;203;222;252;281;284;300;305;252;305;871;862;
Municipios;0552;Estremera;28;29;9;24;69;19;18;20;27;33;35;22;48;104;123;
Municipios;0565;Fresnedillas de la Oliva;8;2;5;12;9;10;9;18;35;32;19;9;9;31;38;
Municipios;0571;Fresno de Torote;15;11;5;20;15;7;36;14;14;17;10;7;19;35;19;
Municipios;0587;Fuenlabrada;3597;3323;3099;3546;3422;4041;4784;5132;5519;5817;5530;4158;4487;12527;12461;
Municipios;0590;Fuente el Saz de Jarama;116;86;88;118;88;146;138;161;169;186;175;128;118;441;380;
Municipios;0604;Fuentidueña de Tajo;12;17;13;17;2;11;13;12;18;19;66;28;35;97;63;
Municipios;0611;Galapagar;349;341;230;846;477;433;409;538;545;694;702;476;629;1199;1118;
Municipios;0626;Garganta de los Montes;4;4;0;4;3;13;4;6;7;9;3;2;7;5;12;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5;5;4;3;7;10;11;11;6;21;12;7;4;52;24;
Municipios;0647;Gascones;3;2;5;1;1;3;4;5;9;9;14;12;21;32;17;
Municipios;0650;Getafe;3313;3137;2810;3725;3232;4069;4588;4779;5786;6708;6318;4899;7007;19100;21371;
Municipios;0663;Griñón;215;258;287;289;302;360;365;451;459;531;529;368;472;1242;1073;
Municipios;0679;Guadalix de la Sierra;51;56;78;106;59;68;76;71;180;116;329;324;106;281;303;
Municipios;0685;Guadarrama;257;222;226;320;268;286;349;441;414;444;426;336;437;1185;849;
Municipios;0698;Hiruela (La);10;5;3;7;4;6;9;5;11;8;13;1;5;22;17;
Municipios;0702;Horcajo de la Sierra-Aoslos;14;33;16;8;5;5;11;12;8;7;11;3;12;29;26;
Municipios;0719;Horcajuelo de la Sierra;18;7;5;5;4;9;3;11;5;8;4;6;8;10;25;
Municipios;0724;Hoyo de Manzanares;65;69;44;295;120;130;127;150;129;165;141;106;113;372;255;
Municipios;0730;Humanes de Madrid;418;422;353;439;508;582;613;846;965;1057;864;683;802;1855;1737;
Municipios;0745;Leganés;3770;3492;3516;3937;3461;3849;4345;4833;5901;6828;6162;4072;5248;13659;13137;
Municipios;0758;Loeches;114;118;111;105;123;139;190;196;225;301;266;178;233;640;557;
Municipios;0761;Lozoya;20;10;13;12;9;15;8;14;36;34;24;16;21;88;64;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;18;17;12;23;15;23;42;47;40;50;36;38;50;120;131;
Municipios;0783;Madarcos;74;59;65;75;52;60;101;102;98;140;125;82;82;230;209;
Municipios;0796;Madrid;151070;146674;138526;210229;156613;179733;210312;234791;259689;295663;284934;188158;266501;626041;590483;
Municipios;0800;Majadahonda;1846;1796;1558;5078;3107;3301;3612;3946;4178;4505;4171;2861;3514;8702;8053;
Municipios;0822;Manzanares el Real;51;47;33;136;70;79;88;85;127;140;124;69;117;204;244;
Municipios;0838;Meco;207;324;263;284;254;332;489;437;549;644;662;499;723;1558;1623;
Municipios;0843;Mejorada del Campo;328;380;315;290;299;330;382;497;649;623;708;436;439;1096;1165;
Municipios;0856;Miraflores de la Sierra;73;38;42;82;69;72;67;69;108;117;76;76;103;191;208;
Municipios;0869;Molar (El);80;75;60;78;63;78;105;100;107;116;88;68;111;327;327;
Municipios;0875;Molinos (Los);64;59;51;66;38;46;33;51;50;48;53;67;67;165;193;
Municipios;0881;Montejo de la Sierra;35;33;16;6;9;8;14;16;28;19;25;17;20;29;49;
Municipios;0894;Moraleja de Enmedio;77;85;79;97;88;139;112;102;144;166;122;116;129;349;301;
Municipios;0908;Moralzarzal;156;152;119;301;195;225;234;243;261;269;294;211;323;875;786;
Municipios;0915;Morata de Tajuña;48;55;45;52;54;60;74;64;108;118;101;74;87;232;158;
Municipios;0920;Móstoles;2812;2547;2173;3587;2680;3109;3530;3676;4107;4476;3999;2702;3557;9066;8280;
Municipios;0936;Navacerrada;51;36;32;67;55;59;75;58;92;90;85;57;80;216;218;
Municipios;0941;Navalafuente;13;10;6;13;8;5;12;13;3;20;21;11;3;38;59;
Municipios;0954;Navalagamella;11;7;8;25;15;9;26;17;22;20;19;9;23;59;77;
Municipios;0967;Navalcarnero;300;292;279;316;331;369;439;550;696;719;647;464;578;2200;1703;
Municipios;0973;Navarredonda y San Mamés;3;4;7;13;13;21;13;9;11;3;13;11;5;25;53;
Municipios;0992;Navas del Rey;30;15;20;29;19;59;34;40;53;65;61;50;36;140;112;
Municipios;1006;Nuevo Baztán;877;537;146;138;97;84;97;82;98;140;129;141;253;323;281;
Municipios;1013;Olmeda de las Fuentes;5;3;4;6;4;7;3;5;2;4;6;15;8;10;11;
Municipios;1028;Orusco de Tajuña;9;8;6;14;2;15;25;16;22;20;17;17;16;23;17;
Municipios;1049;Paracuellos de Jarama;271;294;324;725;483;681;623;644;792;870;782;560;724;1376;1321;
Municipios;1065;Parla;1261;1165;1122;1270;1243;1479;1550;1885;1966;2238;1892;1574;1761;4711;4265;
Municipios;1071;Patones;8;11;15;12;8;13;12;12;28;16;14;8;25;46;35;
Municipios;1087;Pedrezuela;120;95;51;79;85;106;103;103;127;152;165;135;195;249;248;
Municipios;1090;Pelayos de la Presa;53;15;21;38;30;30;40;37;44;48;58;47;59;193;104;
Municipios;1104;Perales de Tajuña;26;14;9;13;17;30;38;24;24;25;33;21;22;167;160;
Municipios;1111;Pezuela de las Torres;8;12;2;12;6;4;7;8;2;9;9;8;15;26;31;
Municipios;1126;Pinilla del Valle;4;0;1;4;3;0;0;1;0;0;1;4;8;14;11;
Municipios;1132;Pinto;1222;992;1074;1242;1249;1411;1533;1772;2013;2305;1981;1438;2000;5246;4816;
Municipios;1147;Piñuécar-Gandullas;88;7;0;2;2;1;8;3;5;2;2;3;1;2;5;
Municipios;1150;Pozuelo de Alarcón;3969;4156;5246;9353;6265;6478;8364;8979;10088;10720;11184;7202;10138;15849;14035;
Municipios;1163;Pozuelo del Rey;11;5;10;12;10;16;15;32;15;11;14;12;21;46;28;
Municipios;1179;Prádena del Rincón;1;0;1;2;3;1;2;2;1;8;3;1;5;2;11;
Municipios;1185;Puebla de la Sierra;2;0;2;1;1;2;2;1;1;2;1;2;5;1;4;
Municipios;9020;Puentes Viejas;7;13;4;6;1;6;13;6;7;10;10;6;6;28;14;
Municipios;1198;Quijorna;21;61;22;51;33;27;62;40;31;27;27;31;46;92;70;
Municipios;1202;Rascafría;23;38;21;19;29;23;26;43;45;55;28;35;51;128;110;
Municipios;1219;Redueña;15;6;0;3;2;5;21;7;4;10;8;11;7;14;16;
Municipios;1224;Ribatejada;3;6;6;9;4;3;13;6;9;5;3;5;11;17;19;
Municipios;1230;Rivas-Vaciamadrid;1252;1424;1298;2114;1704;2339;2417;2752;3344;3727;3471;2397;3160;7951;7716;
Municipios;1245;Robledillo de la Jara;2;2;4;2;4;1;1;3;2;0;0;0;4;3;10;
Municipios;1258;Robledo de Chavela;39;52;30;60;40;48;30;39;39;47;57;46;53;144;210;
Municipios;1261;Robregordo;2;0;1;0;1;0;1;1;0;5;1;1;0;1;1;
Municipios;1277;Rozas de Madrid (Las);3999;3762;3621;7037;4563;5615;6199;6176;8079;8498;7764;5414;7488;16558;14832;
Municipios;1283;Rozas de Puerto Real;3;3;6;8;18;4;7;13;13;19;14;19;16;54;41;
Municipios;1296;San Agustín del Guadalix;253;233;221;412;241;297;315;380;523;516;449;334;413;878;730;
Municipios;1300;San Fernando de Henares;890;877;945;1023;1051;1150;1999;1799;2383;2189;2237;2608;2429;4965;4595;
Municipios;1317;San Lorenzo de El Escorial;316;300;257;454;266;408;396;411;435;450;463;308;464;1359;962;
Municipios;1338;San Martín de Valdeiglesias;104;113;102;135;74;104;91;123;116;150;158;124;140;512;430;
Municipios;1322;San Martín de la Vega;324;345;298;300;278;301;403;428;507;620;493;411;430;1213;1308;
Municipios;1343;San Sebastián de los Reyes;3404;3623;3176;4235;3088;3724;4258;4456;5170;5985;5693;3543;5031;12979;12445;
Municipios;1356;Santa María de la Alameda;3;7;1;8;6;10;4;10;7;7;13;7;12;40;34;
Municipios;1369;Santorcaz;2;3;2;3;2;2;3;3;2;8;3;6;8;41;26;
Municipios;1375;Santos de la Humosa (Los);14;12;13;23;17;19;16;16;14;18;30;28;39;91;72;
Municipios;1381;Serna del Monte (La);2;5;5;2;3;4;3;5;0;2;5;6;1;5;7;
Municipios;1408;Serranillos del Valle;64;45;34;47;30;59;66;56;112;101;95;89;103;190;211;
Municipios;1415;Sevilla la Nueva;134;120;103;118;156;103;164;121;129;137;143;143;149;548;544;
Municipios;1436;Somosierra;2;4;2;7;1;8;9;5;10;6;5;4;6;18;21;
Municipios;1441;Soto del Real;132;101;85;261;141;163;169;153;225;226;177;145;168;394;375;
Municipios;1454;Talamanca de Jarama;64;44;58;43;23;22;40;59;75;78;53;46;44;139;114;
Municipios;1467;Tielmes;17;8;18;25;16;17;14;19;45;32;37;30;26;131;126;
Municipios;1473;Titulcia;6;4;6;11;7;16;12;17;12;34;8;15;21;78;52;
Municipios;1489;Torrejón de Ardoz;2761;2639;2383;2878;2180;2401;3201;3129;3399;3879;3632;2419;3523;9112;8889;
Municipios;1505;Torrejón de Velasco;58;47;37;57;34;29;54;65;48;146;64;52;72;181;244;
Municipios;1492;Torrejón de la Calzada;190;210;191;162;161;174;173;189;197;383;283;233;218;548;624;
Municipios;1512;Torrelaguna;44;35;35;36;48;37;39;46;38;67;31;31;55;106;108;
Municipios;1527;Torrelodones;585;574;441;1416;685;805;741;876;973;1055;1090;796;956;2001;1874;
Municipios;1533;Torremocha de Jarama;14;35;17;21;16;25;8;29;19;9;9;16;14;23;33;
Municipios;1548;Torres de la Alameda;121;117;128;106;115;103;111;120;140;179;155;115;153;307;350;
Municipios;9036;Tres Cantos;2013;1837;1790;2627;1767;2185;2566;3059;3700;4029;4220;3013;4088;7553;7196;
Municipios;1551;Valdaracete;0;2;3;0;1;2;4;0;4;3;5;3;5;14;8;
Municipios;1564;Valdeavero;22;16;12;33;11;27;16;24;26;30;10;20;27;48;43;
Municipios;1570;Valdelaguna;2;0;5;6;4;3;4;4;4;5;5;1;8;12;11;
Municipios;1586;Valdemanco;1;8;0;3;0;7;6;3;2;6;8;3;6;12;17;
Municipios;1599;Valdemaqueda;0;1;1;1;4;0;3;1;3;7;2;6;6;19;26;
Municipios;1603;Valdemorillo;129;82;104;242;180;183;173;220;212;240;244;155;174;550;443;
Municipios;1610;Valdemoro;1242;1227;1034;1331;1205;1502;1656;2271;2355;2756;2378;2144;2121;6573;4750;
Municipios;1625;Valdeolmos-Alalpardo;47;36;31;66;49;77;67;85;47;136;99;58;79;156;164;
Municipios;1631;Valdepiélagos;1;3;0;6;2;6;7;6;4;4;4;7;7;20;9;
Municipios;1646;Valdetorres de Jarama;32;46;66;64;39;47;63;63;82;79;63;38;64;139;177;
Municipios;1659;Valdilecha;27;20;18;31;21;36;35;57;103;66;56;53;50;102;95;
Municipios;1662;Valverde de Alcalá;1;1;3;1;2;1;1;2;1;8;6;0;4;10;17;
Municipios;1678;Velilla de San Antonio;204;176;203;221;190;225;251;271;320;356;310;298;358;1707;2735;
Municipios;1684;Vellón (El);1;11;3;16;4;11;10;18;4;6;8;4;8;30;31;
Municipios;1697;Venturada;12;20;11;32;20;17;29;15;18;87;229;53;40;278;336;
Municipios;1718;Villa del Prado;44;39;58;67;41;57;59;144;67;61;59;58;71;254;289;
Municipios;1701;Villaconejos;40;40;22;28;45;29;35;26;22;38;30;37;58;159;117;
Municipios;1723;Villalbilla;115;129;113;194;177;124;131;164;184;199;149;207;269;533;524;
Municipios;1739;Villamanrique de Tajo;2;4;1;3;0;4;2;4;6;4;5;3;5;46;72;
Municipios;1744;Villamanta;27;13;19;20;16;18;27;21;22;15;33;18;27;118;56;
Municipios;1757;Villamantilla;12;7;3;11;3;5;7;13;9;5;12;3;6;24;30;
Municipios;1782;Villanueva de Perales;30;31;38;43;20;31;21;9;26;34;32;16;18;56;48;
Municipios;1760;Villanueva de la Cañada;473;419;484;957;527;677;641;701;773;914;849;731;998;2605;2232;
Municipios;1776;Villanueva del Pardillo;266;232;165;518;325;301;332;318;389;448;368;324;343;736;696;
Municipios;1795;Villar del Olmo;15;22;22;28;13;14;14;16;17;32;21;18;21;46;47;
Municipios;1809;Villarejo de Salvanés;61;55;55;64;69;84;83;77;85;105;103;79;92;190;238;
Municipios;1816;Villaviciosa de Odón;614;568;511;1159;658;803;957;980;1033;1304;1167;871;1161;2678;2551;
Municipios;1821;Villavieja del Lozoya;0;1;0;1;2;4;0;4;0;2;0;0;0;2;6;
Municipios;1837;Zarzalejo;14;4;7;15;5;11;11;34;20;15;12;12;27;58;32;
Notas;
Los contratos se contabilizan en función de la ubicación del municipio donde se sitúa el centro de trabajo.;
;
