Población.Censos.Censo anual.Población censada.Total. Población censada de 50 a 54 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;520576;530767;542877;
Zonas Estadísticas;01;Municipio de Madrid ;247005;248071;251449;
Zonas Estadísticas;02;Norte Metropolitano ;27532;28131;29135;
Zonas Estadísticas;03;Este Metropolitano  ;52097;53619;54978;
Zonas Estadísticas;04;Sur Metropolitano   ;100168;103723;107246;
Zonas Estadísticas;05;Oeste Metropolitano ;43370;44705;45868;
Zonas Estadísticas;06;Sierra Norte        ;4017;4096;4177;
Zonas Estadísticas;07;Nordeste Comunidad  ;6016;6305;6579;
Zonas Estadísticas;08;Sudeste Comunidad   ;8750;9127;9417;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11656;12389;12945;
Zonas Estadísticas;10;Sierra Sur          ;3053;3072;3193;
Zonas Estadísticas;11;Sierra Central      ;16912;17529;17890;
Municipios;0014;Acebeda (La);4;2;3;
Municipios;0029;Ajalvir;421;425;463;
Municipios;0035;Alameda del Valle;31;24;25;
Municipios;0040;Alamo (El);834;851;850;
Municipios;0053;Alcalá de Henares;15744;16277;16537;
Municipios;0066;Alcobendas;8874;9163;9505;
Municipios;0072;Alcorcón;13851;14558;15306;
Municipios;0088;Aldea del Fresno;228;233;251;
Municipios;0091;Algete;1729;1704;1774;
Municipios;0105;Alpedrete;1521;1587;1639;
Municipios;0112;Ambite;68;70;72;
Municipios;0127;Anchuelo;91;87;93;
Municipios;0133;Aranjuez;4747;4800;4785;
Municipios;0148;Arganda del Rey;4364;4554;4683;
Municipios;0151;Arroyomolinos;2453;2617;2829;
Municipios;0164;Atazar (El);19;17;18;
Municipios;0170;Batres;169;198;209;
Municipios;0186;Becerril de la Sierra;531;528;546;
Municipios;0199;Belmonte de Tajo;130;145;144;
Municipios;0210;Berrueco (El);59;52;62;
Municipios;0203;Berzosa del Lozoya;23;23;21;
Municipios;0225;Boadilla del Monte;5826;6474;6915;
Municipios;0231;Boalo (El);771;838;902;
Municipios;0246;Braojos;19;24;22;
Municipios;0259;Brea de Tajo;42;45;42;
Municipios;0262;Brunete;1024;1040;1006;
Municipios;0278;Buitrago del Lozoya;151;153;152;
Municipios;0284;Bustarviejo;249;253;253;
Municipios;0297;Cabanillas de la Sierra;81;92;86;
Municipios;0301;Cabrera (La);247;249;254;
Municipios;0318;Cadalso de los Vidrios;244;228;245;
Municipios;0323;Camarma de Esteruelas;644;676;726;
Municipios;0339;Campo Real;482;527;534;
Municipios;0344;Canencia;56;45;46;
Municipios;0357;Carabaña;167;174;177;
Municipios;0360;Casarrubuelos;322;347;355;
Municipios;0376;Cenicientos;126;120;122;
Municipios;0382;Cercedilla;636;684;681;
Municipios;0395;Cervera de Buitrago;16;16;14;
Municipios;0513;Chapinería;196;185;200;
Municipios;0528;Chinchón;467;487;494;
Municipios;0409;Ciempozuelos;2050;2156;2234;
Municipios;0416;Cobeña;667;671;692;
Municipios;0468;Collado Mediano;736;770;748;
Municipios;0474;Collado Villalba;5479;5453;5547;
Municipios;0455;Colmenar Viejo;4153;4221;4307;
Municipios;0437;Colmenar de Oreja;710;727;719;
Municipios;0421;Colmenar del Arroyo;154;167;179;
Municipios;0442;Colmenarejo;878;907;932;
Municipios;0480;Corpa;41;43;44;
Municipios;0493;Coslada;5529;5606;5668;
Municipios;0506;Cubas de la Sagra;504;544;558;
Municipios;0534;Daganzo de Arriba;1188;1251;1299;
Municipios;0549;Escorial (El);1353;1344;1336;
Municipios;0552;Estremera;121;117;123;
Municipios;0565;Fresnedillas de la Oliva;143;140;135;
Municipios;0571;Fresno de Torote;196;226;258;
Municipios;0587;Fuenlabrada;15655;15626;15388;
Municipios;0590;Fuente el Saz de Jarama;580;605;638;
Municipios;0604;Fuentidueña de Tajo;155;159;165;
Municipios;0611;Galapagar;3006;3000;3045;
Municipios;0626;Garganta de los Montes;35;35;36;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;43;43;43;
Municipios;0647;Gascones;18;19;20;
Municipios;0650;Getafe;13595;14519;15189;
Municipios;0663;Griñón;899;921;914;
Municipios;0679;Guadalix de la Sierra;642;671;673;
Municipios;0685;Guadarrama;1452;1473;1533;
Municipios;0698;Hiruela (La);7;5;8;
Municipios;0702;Horcajo de la Sierra-Aoslos;10;14;18;
Municipios;0719;Horcajuelo de la Sierra;12;9;11;
Municipios;0724;Hoyo de Manzanares;756;736;753;
Municipios;0730;Humanes de Madrid;1318;1425;1481;
Municipios;0745;Leganés;13847;14470;15102;
Municipios;0758;Loeches;721;784;834;
Municipios;0761;Lozoya;59;60;53;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;127;119;129;
Municipios;0783;Madarcos;10;9;6;
Municipios;0796;Madrid;247005;248071;251449;
Municipios;0800;Majadahonda;5804;5887;6005;
Municipios;0822;Manzanares el Real;894;953;947;
Municipios;0838;Meco;1344;1369;1380;
Municipios;0843;Mejorada del Campo;1843;1854;1863;
Municipios;0856;Miraflores de la Sierra;646;646;644;
Municipios;0869;Molar (El);768;792;814;
Municipios;0875;Molinos (Los);411;402;384;
Municipios;0881;Montejo de la Sierra;38;39;38;
Municipios;0894;Moraleja de Enmedio;433;449;471;
Municipios;0908;Moralzarzal;1369;1475;1525;
Municipios;0915;Morata de Tajuña;578;580;632;
Municipios;0920;Móstoles;13486;13630;13955;
Municipios;0936;Navacerrada;331;335;337;
Municipios;0941;Navalafuente;147;136;139;
Municipios;0954;Navalagamella;240;243;280;
Municipios;0967;Navalcarnero;2140;2277;2414;
Municipios;0973;Navarredonda y San Mamés;11;9;12;
Municipios;0992;Navas del Rey;238;238;244;
Municipios;1006;Nuevo Baztán;651;660;649;
Municipios;1013;Olmeda de las Fuentes;30;33;32;
Municipios;1028;Orusco de Tajuña;98;116;122;
Municipios;1049;Paracuellos de Jarama;2177;2385;2614;
Municipios;1065;Parla;8798;9164;9788;
Municipios;1071;Patones;34;35;42;
Municipios;1087;Pedrezuela;487;528;555;
Municipios;1090;Pelayos de la Presa;221;238;232;
Municipios;1104;Perales de Tajuña;251;262;286;
Municipios;1111;Pezuela de las Torres;68;75;75;
Municipios;1126;Pinilla del Valle;14;17;19;
Municipios;1132;Pinto;4252;4365;4599;
Municipios;1147;Piñuécar-Gandullas;21;19;17;
Municipios;1150;Pozuelo de Alarcón;7069;7138;7197;
Municipios;1163;Pozuelo del Rey;81;80;85;
Municipios;1179;Prádena del Rincón;10;12;19;
Municipios;1185;Puebla de la Sierra;4;6;8;
Municipios;9020;Puentes Viejas;60;54;59;
Municipios;1198;Quijorna;309;349;381;
Municipios;1202;Rascafría;154;144;132;
Municipios;1219;Redueña;29;36;32;
Municipios;1224;Ribatejada;91;109;102;
Municipios;1230;Rivas-Vaciamadrid;7419;7562;7923;
Municipios;1245;Robledillo de la Jara;8;6;9;
Municipios;1258;Robledo de Chavela;419;427;435;
Municipios;1261;Robregordo;2;3;3;
Municipios;1277;Rozas de Madrid (Las);8264;8590;8867;
Municipios;1283;Rozas de Puerto Real;42;50;54;
Municipios;1296;San Agustín del Guadalix;1299;1329;1375;
Municipios;1300;San Fernando de Henares;3493;3401;3281;
Municipios;1317;San Lorenzo de El Escorial;1581;1591;1549;
Municipios;1338;San Martín de Valdeiglesias;695;697;713;
Municipios;1322;San Martín de la Vega;1682;1678;1659;
Municipios;1343;San Sebastián de los Reyes;6990;7205;7582;
Municipios;1356;Santa María de la Alameda;126;131;142;
Municipios;1369;Santorcaz;90;90;103;
Municipios;1375;Santos de la Humosa (Los);192;206;218;
Municipios;1381;Serna del Monte (La);6;7;8;
Municipios;1408;Serranillos del Valle;414;416;406;
Municipios;1415;Sevilla la Nueva;839;868;931;
Municipios;1436;Somosierra;5;11;12;
Municipios;1441;Soto del Real;815;842;862;
Municipios;1454;Talamanca de Jarama;300;319;337;
Municipios;1467;Tielmes;183;204;210;
Municipios;1473;Titulcia;117;128;117;
Municipios;1489;Torrejón de Ardoz;9948;10356;10716;
Municipios;1505;Torrejón de Velasco;394;440;457;
Municipios;1492;Torrejón de la Calzada;707;757;768;
Municipios;1512;Torrelaguna;419;428;432;
Municipios;1527;Torrelodones;2169;2273;2303;
Municipios;1533;Torremocha de Jarama;94;98;90;
Municipios;1548;Torres de la Alameda;626;654;649;
Municipios;9036;Tres Cantos;3820;3838;3900;
Municipios;1551;Valdaracete;44;44;39;
Municipios;1564;Valdeavero;120;131;142;
Municipios;1570;Valdelaguna;88;78;81;
Municipios;1586;Valdemanco;80;95;98;
Municipios;1599;Valdemaqueda;66;68;64;
Municipios;1603;Valdemorillo;1301;1383;1411;
Municipios;1610;Valdemoro;6887;7332;7760;
Municipios;1625;Valdeolmos-Alalpardo;340;359;392;
Municipios;1631;Valdepiélagos;46;43;48;
Municipios;1646;Valdetorres de Jarama;399;425;443;
Municipios;1659;Valdilecha;236;237;242;
Municipios;1662;Valverde de Alcalá;44;48;48;
Municipios;1678;Velilla de San Antonio;1159;1199;1230;
Municipios;1684;Vellón (El);180;175;186;
Municipios;1697;Venturada;254;265;276;
Municipios;1718;Villa del Prado;523;589;584;
Municipios;1701;Villaconejos;258;267;266;
Municipios;1723;Villalbilla;1134;1200;1293;
Municipios;1739;Villamanrique de Tajo;54;62;68;
Municipios;1744;Villamanta;198;219;236;
Municipios;1757;Villamantilla;120;140;153;
Municipios;1782;Villanueva de Perales;170;174;178;
Municipios;1760;Villanueva de la Cañada;1853;1932;1960;
Municipios;1776;Villanueva del Pardillo;1686;1771;1914;
Municipios;1795;Villar del Olmo;208;202;200;
Municipios;1809;Villarejo de Salvanés;524;536;561;
Municipios;1816;Villaviciosa de Odón;2120;2182;2270;
Municipios;1821;Villavieja del Lozoya;42;39;38;
Municipios;1837;Zarzalejo;143;140;148;
Notas;
La fecha de referencia es a 1 de enero de cada año.;
