Serie;Codigo_municipio;Nombre;unidades_productivas_total_2022;unidades_productivas_total_2023
Comunidad de Madrid;;Comunidad de Madrid;760967;764737
Zonas Estadísticas;01;Municipio de Madrid ;426663;429800
Zonas Estadísticas;02;Norte Metropolitano ;40244;40519
Zonas Estadísticas;03;Este Metropolitano  ;59749;59383
Zonas Estadísticas;04;Sur Metropolitano   ;105173;104811
Zonas Estadísticas;05;Oeste Metropolitano ;71093;71991
Zonas Estadísticas;06;Sierra Norte        ;4679;4662
Zonas Estadísticas;07;Nordeste Comunidad  ;6460;6506
Zonas Estadísticas;08;Sudeste Comunidad   ;10423;10315
Zonas Estadísticas;09;Sudoeste Comunidad  ;14553;14653
Zonas Estadísticas;10;Sierra Sur          ;3509;3505
Zonas Estadísticas;11;Sierra Central      ;18421;18592
Municipios;0014;Acebeda (La);23;22
Municipios;0029;Ajalvir;988;965
Municipios;0035;Alameda del Valle;36;37
Municipios;0040;Alamo (El);837;850
Municipios;0053;Alcalá de Henares;15957;15869
Municipios;0066;Alcobendas;15330;15477
Municipios;0072;Alcorcón;14312;14352
Municipios;0088;Aldea del Fresno;254;246
Municipios;0091;Algete;2550;2559
Municipios;0105;Alpedrete;1624;1611
Municipios;0112;Ambite;61;62
Municipios;0127;Anchuelo;109;109
Municipios;0133;Aranjuez;4576;4557
Municipios;0148;Arganda del Rey;6367;6265
Municipios;0151;Arroyomolinos;3262;3304
Municipios;0164;Atazar (El);8;7
Municipios;0170;Batres;158;165
Municipios;0186;Becerril de la Sierra;668;670
Municipios;0199;Belmonte de Tajo;141;142
Municipios;0210;Berrueco (El);75;75
Municipios;0203;Berzosa del Lozoya;26;31
Municipios;0225;Boadilla del Monte;8402;8745
Municipios;0231;Boalo (El);815;824
Municipios;0246;Braojos;31;31
Municipios;0259;Brea de Tajo;54;55
Municipios;0262;Brunete;1172;1158
Municipios;0278;Buitrago del Lozoya;233;242
Municipios;0284;Bustarviejo;284;283
Municipios;0297;Cabanillas de la Sierra;80;83
Municipios;0301;Cabrera (La);304;307
Municipios;0318;Cadalso de los Vidrios;281;283
Municipios;0323;Camarma de Esteruelas;779;771
Municipios;0339;Campo Real;725;717
Municipios;0344;Canencia;52;51
Municipios;0357;Carabaña;186;191
Municipios;0360;Casarrubuelos;378;379
Municipios;0376;Cenicientos;155;146
Municipios;0382;Cercedilla;780;804
Municipios;0395;Cervera de Buitrago;17;15
Municipios;0513;Chapinería;220;232
Municipios;0528;Chinchón;655;655
Municipios;0409;Ciempozuelos;1840;1815
Municipios;0416;Cobeña;747;772
Municipios;0468;Collado Mediano;733;772
Municipios;0474;Collado Villalba;6000;6010
Municipios;0455;Colmenar Viejo;4807;4813
Municipios;0437;Colmenar de Oreja;744;729
Municipios;0421;Colmenar del Arroyo;180;179
Municipios;0442;Colmenarejo;783;778
Municipios;0480;Corpa;37;38
Municipios;0493;Coslada;7368;7230
Municipios;0506;Cubas de la Sagra;535;548
Municipios;0534;Daganzo de Arriba;1056;1057
Municipios;0549;Escorial (El);1631;1637
Municipios;0552;Estremera;150;152
Municipios;0565;Fresnedillas de la Oliva;135;138
Municipios;0571;Fresno de Torote;145;156
Municipios;0587;Fuenlabrada;16859;16673
Municipios;0590;Fuente el Saz de Jarama;944;918
Municipios;0604;Fuentidueña de Tajo;197;190
Municipios;0611;Galapagar;3437;3486
Municipios;0626;Garganta de los Montes;51;51
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;39;42
Municipios;0647;Gascones;40;38
Municipios;0650;Getafe;14551;14522
Municipios;0663;Griñón;1455;1461
Municipios;0679;Guadalix de la Sierra;603;616
Municipios;0685;Guadarrama;1554;1569
Municipios;0698;Hiruela (La);17;18
Municipios;0702;Horcajo de la Sierra-Aoslos;32;31
Municipios;0719;Horcajuelo de la Sierra;20;15
Municipios;0724;Hoyo de Manzanares;961;962
Municipios;0730;Humanes de Madrid;3798;3748
Municipios;0745;Leganés;14718;14708
Municipios;0758;Loeches;1038;1049
Municipios;0761;Lozoya;76;75
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;170;173
Municipios;0783;Madarcos;13;11
Municipios;0796;Madrid;426663;429800
Municipios;0800;Majadahonda;10360;10453
Municipios;0822;Manzanares el Real;810;798
Municipios;0838;Meco;1331;1373
Municipios;0843;Mejorada del Campo;2384;2378
Municipios;0856;Miraflores de la Sierra;618;605
Municipios;0869;Molar (El);709;715
Municipios;0875;Molinos (Los);477;474
Municipios;0881;Montejo de la Sierra;43;37
Municipios;0894;Moraleja de Enmedio;836;827
Municipios;0908;Moralzarzal;1322;1328
Municipios;0915;Morata de Tajuña;609;623
Municipios;0920;Móstoles;13910;13782
Municipios;0936;Navacerrada;386;388
Municipios;0941;Navalafuente;114;105
Municipios;0954;Navalagamella;190;187
Municipios;0967;Navalcarnero;2524;2540
Municipios;0973;Navarredonda y San Mamés;21;19
Municipios;0992;Navas del Rey;288;296
Municipios;1006;Nuevo Baztán;636;607
Municipios;1013;Olmeda de las Fuentes;58;54
Municipios;1028;Orusco de Tajuña;87;85
Municipios;1049;Paracuellos de Jarama;2751;2731
Municipios;1065;Parla;7375;7381
Municipios;1071;Patones;65;64
Municipios;1087;Pedrezuela;466;456
Municipios;1090;Pelayos de la Presa;297;294
Municipios;1104;Perales de Tajuña;252;255
Municipios;1111;Pezuela de las Torres;87;87
Municipios;1126;Pinilla del Valle;15;13
Municipios;1132;Pinto;4751;4734
Municipios;1147;Piñuécar-Gandullas;25;22
Municipios;1150;Pozuelo de Alarcón;15803;15929
Municipios;1163;Pozuelo del Rey;94;86
Municipios;1179;Prádena del Rincón;23;23
Municipios;1185;Puebla de la Sierra;10;11
Municipios;9020;Puentes Viejas;70;72
Municipios;1198;Quijorna;309;307
Municipios;1202;Rascafría;263;256
Municipios;1219;Redueña;52;49
Municipios;1224;Ribatejada;68;67
Municipios;1230;Rivas-Vaciamadrid;8985;9060
Municipios;1245;Robledillo de la Jara;8;9
Municipios;1258;Robledo de Chavela;432;430
Municipios;1261;Robregordo;5;6
Municipios;1277;Rozas de Madrid (Las);14528;14727
Municipios;1283;Rozas de Puerto Real;81;75
Municipios;1296;San Agustín del Guadalix;1451;1453
Municipios;1300;San Fernando de Henares;4038;3984
Municipios;1317;San Lorenzo de El Escorial;1953;1986
Municipios;1338;San Martín de Valdeiglesias;824;809
Municipios;1322;San Martín de la Vega;1783;1834
Municipios;1343;San Sebastián de los Reyes;10004;10068
Municipios;1356;Santa María de la Alameda;169;172
Municipios;1369;Santorcaz;71;74
Municipios;1375;Santos de la Humosa (Los);187;185
Municipios;1381;Serna del Monte (La);22;18
Municipios;1408;Serranillos del Valle;473;497
Municipios;1415;Sevilla la Nueva;887;891
Municipios;1436;Somosierra;16;16
Municipios;1441;Soto del Real;971;987
Municipios;1454;Talamanca de Jarama;309;310
Municipios;1467;Tielmes;226;208
Municipios;1473;Titulcia;108;106
Municipios;1489;Torrejón de Ardoz;9703;9671
Municipios;1505;Torrejón de Velasco;481;481
Municipios;1492;Torrejón de la Calzada;1001;1010
Municipios;1512;Torrelaguna;451;457
Municipios;1527;Torrelodones;3543;3530
Municipios;1533;Torremocha de Jarama;115;116
Municipios;1548;Torres de la Alameda;854;847
Municipios;9036;Tres Cantos;5355;5377
Municipios;1551;Valdaracete;47;44
Municipios;1564;Valdeavero;177;171
Municipios;1570;Valdelaguna;77;74
Municipios;1586;Valdemanco;92;85
Municipios;1599;Valdemaqueda;87;85
Municipios;1603;Valdemorillo;1557;1577
Municipios;1610;Valdemoro;6700;6705
Municipios;1625;Valdeolmos-Alalpardo;458;472
Municipios;1631;Valdepiélagos;72;66
Municipios;1646;Valdetorres de Jarama;412;430
Municipios;1659;Valdilecha;264;255
Municipios;1662;Valverde de Alcalá;35;32
Municipios;1678;Velilla de San Antonio;1208;1230
Municipios;1684;Vellón (El);159;148
Municipios;1697;Venturada;386;399
Municipios;1718;Villa del Prado;605;596
Municipios;1701;Villaconejos;369;361
Municipios;1723;Villalbilla;1264;1252
Municipios;1739;Villamanrique de Tajo;79;74
Municipios;1744;Villamanta;272;274
Municipios;1757;Villamantilla;129;118
Municipios;1782;Villanueva de Perales;157;159
Municipios;1760;Villanueva de la Cañada;2934;2968
Municipios;1776;Villanueva del Pardillo;1739;1784
Municipios;1795;Villar del Olmo;240;254
Municipios;1809;Villarejo de Salvanés;682;663
Municipios;1816;Villaviciosa de Odón;3953;4023
Municipios;1821;Villavieja del Lozoya;28;27
Municipios;1837;Zarzalejo;170;179
